Identifier (RIC),Company Name,"Total Current Assets
MAGA.KL,Magma Group Bhd,20251445.78,4698527.71,1492387.95,0.1,-0.55,1.75,55.0,53.0,54.0,58.0
3252.TWO,Haiwan International Development Co Ltd,20020316.11,16096528.58,8830795.32,0.11,0.08,0.82,54.0,53.0,44.0,48.0
KHL.CM,John Keells Hotels PLC,19901619.38,46210117.65,26524048.44,0.18,-0.09,1.64,50.0,49.0,44.0,57.0
2705.TW,Leofoo Development Co Ltd,19429849.88,45359375.0,2477807.45,0.09,-0.22,1.72,50.0,49.0,53.0,50.0
0042.HK,Northeast Electric Development Co Ltd,18996930.15,13176859.62,6128697.6,0.48,0.21,2.0,50.0,47.0,51.0,53.0
MAMI.JK,Mas Murni Indonesia Tbk PT,18412122.75,9130914.62,3767263.43,0.09,-0.02,0.23,54.0,51.0,53.0,52.0
ROH.BK,Royal Orchid Hotel Thailand PCL,18343244.06,1873668.37,-576756.55,0.01,-3.43,1.57,48.0,54.0,48.0,57.0
HLVL.NS,HLV Ltd,18230994.42,9617358.84,7087919.33,0.13,-0.58,0.12,53.0,52.0,53.0,55.0
2722.TW,Chateau International Development Co Ltd,18184324.48,21215285.8,7928550.81,0.22,0.04,0.24,46.0,52.0,44.0,49.0
TPSE.NR,TPS Eastern Africa PLC,17952843.87,29082689.08,24099672.71,0.19,-0.19,0.94,55.0,52.0,45.0,54.0
ICON.JK,Pt Island Concepts Indonesia Tbk,17518642.02,9870649.73,1885633.51,0.38,-0.02,0.03,46.0,46.0,46.0,49.0
MUNK.KW,Kuwait Resorts Company KPSC,17283023.86,23225035.58,8300731.47,0.21,0.14,0.01,55.0,54.0,51.0,57.0
ACE.PS,Acesite (Phils.) Hotel Corp,17258772.31,0.0,-1229913.12,0.0,-1.0,0.0,52.0,45.0,47.0,51.0
LEMO.NS,Lemon Tree Hotels Ltd,17256611.87,52995083.09,43560803.89,0.11,-0.22,2.56,51.0,46.0,49.0,53.0
AIHO.AM,Arab International Hotels Company PSC,17194554.46,7704483.73,59575.67,0.08,0.03,0.43,50.0,49.0,47.0,58.0
BGALB.BB,Albena AD,17132553.95,49935438.84,32732507.42,0.14,0.05,0.19,47.0,48.0,44.0,54.0
2736.TWO,HOYA Resort Hotel Group,17034642.03,17805246.82,9180896.36,0.21,-0.07,0.81,52.0,51.0,44.0,58.0
AVIL.KL,Avillion Bhd,16600761.36,7631453.72,5480847.01,0.09,-0.28,0.42,46.0,45.0,46.0,57.0
NHTL.BH,National Hotels Co BSC,16558217.27,13179519.83,4074333.47,0.06,0.11,0.0,46.0,47.0,53.0,52.0
SHID.JK,Hotel Sahid Jaya International Tbk PT,15899429.63,4871770.93,3264245.21,0.05,-0.6,0.58,47.0,52.0,46.0,53.0
GHLL.CM,Galadari Hotels (Lanka) PLC,15352628.41,2732551.57,922782.05,0.06,-0.62,0.0,47.0,53.0,46.0,54.0
EIHA.NS,EIH Associated Hotels Ltd,14978511.6,25715599.45,20455880.92,0.49,0.07,0.01,45.0,49.0,48.0,48.0
6076.FU,Amaze Co Ltd,14956245.03,104764430.3,94616812.52,0.44,0.03,1.22,53.0,49.0,50.0,53.0
ORHT.NS,Oriental Hotels Ltd,14552827.75,28905725.06,22962211.5,0.28,-0.09,0.64,47.0,46.0,52.0,51.0
EDEN.CM,Eden Hotel Lanka PLC,13357462.11,3778260.73,2809587.51,0.02,-2.16,0.95,53.0,52.0,52.0,50.0
ROTO.CA,Rowad Tourism Company SAE,12825580.46,1417650.7,1394816.09,0.05,0.25,0.37,55.0,51.0,53.0,52.0
GRAN.KL,Grand Central Enterprises Bhd,12749512.49,4324673.39,3899531.7,0.08,-0.13,0.0,51.0,53.0,52.0,53.0
PALM.CM,Palm Garden Hotels PLC,12641411.25,3778260.73,2809587.51,0.02,-1.69,1.6,49.0,48.0,48.0,48.0
HBAY.ISX,Babylon Hotel,12283722.16,4033848.97,3262996.13,0.35,0.8,0.0,53.0,52.0,49.0,53.0
MAALT.IS,Marmaris Altinyunus Turistik Tesisleri AS,11626662.46,366350.51,190271.18,0.02,9.03,0.0,53.0,52.0,46.0,57.0
2724.TWO,Architectural Aesthetics Global Development Co Ltd,11348044.17,2396254.33,1512305.14,0.08,-0.66,2.05,53.0,50.0,46.0,49.0
JUNI.NS,Juniper Hotels Ltd,11244456.62,40669737.32,37104453.94,0.1,-0.61,7.03,54.0,50.0,46.0,51.0
IPCC.SI,IPC Corporation Ltd,11217939.21,3091178.65,-383988.14,0.06,-2.12,0.09,48.0,50.0,45.0,54.0
ROYL.NS,Royal Orchid Hotels Ltd,11085803.42,18250506.58,14200844.78,0.35,0.21,1.19,49.0,47.0,50.0,56.0
8237.HK,Link Holdings Ltd,11015240.26,6377636.68,3448835.27,0.07,-2.27,1.54,47.0,49.0,50.0,57.0
GPH.PS,Grand Plaza Hotel Corp,10847604.24,6569730.14,5183874.49,0.27,0.1,0.19,54.0,44.0,53.0,51.0
MTUR.MKE,Makedonijaturist AD Skopje,10570907.75,2274314.12,1820051.56,0.05,0.18,0.01,54.0,49.0,52.0,56.0
CHOT.CM,Ceylon Hotels Corporation PLC,10529224.26,1944413.81,1434726.47,0.04,-0.07,0.3,46.0,49.0,46.0,57.0
5704.TWO,Hotel Royal Chihpen,10522084.3,13080831.41,5600245.38,0.53,0.16,0.0,53.0,45.0,47.0,51.0
PENI.DH,Peninsula Chittagong PLC,10497596.78,3005798.75,1186489.54,0.06,0.19,0.12,52.0,48.0,52.0,55.0
NATO.JK,Surya Permata Andalan Tbk PT,10067718.53,126747.66,-3580.99,0.0,-3.31,0.0,50.0,52.0,46.0,58.0
SUNB.MV,Sunbird Tourism PLC,9972564.45,20560917.2,13277852.01,0.32,0.05,0.44,54.0,46.0,48.0,51.0
APOS.NS,Apollo Sindoori Hotels Ltd,9884995.53,27395489.41,16849465.23,1.31,0.07,0.23,51.0,49.0,44.0,49.0
TBKH.NS,Byke Hospitality Ltd,9745590.99,12290827.31,9931411.01,0.35,-0.14,0.6,55.0,53.0,47.0,48.0
LCH.CY,Leptos Calypso Hotels Public Ltd,9732396.61,12818236.59,2378669.03,0.07,-0.16,0.87,54.0,53.0,47.0,49.0
COUN.NS,Country Club Hospitality & Holidays Ltd,9664683.39,7489229.45,6508483.37,0.07,-0.77,0.71,50.0,52.0,52.0,53.0
TAJG.NS,TAJ GVK Hotels and Resorts Ltd,9453554.22,29917300.6,26324178.47,0.32,0.01,0.58,50.0,45.0,47.0,54.0
8077.TWO,Green World Hotels Co Ltd,9220265.59,14133371.82,-6929813.8,0.1,-0.93,6.46,50.0,45.0,44.0,56.0
ADFF.L,Facilities By ADF PLC,9137522.83,37551241.29,14664141.24,1.3,0.05,2.29,46.0,51.0,51.0,57.0
DAH.HM,Dong A Hotel Group JSC,8955134.86,30301189.04,3089809.14,0.8,0.05,0.24,54.0,53.0,46.0,52.0
MARTI.IS,Marti Otel Isletmeleri AS,8822912.07,9031055.9,3004778.46,0.06,0.09,54.43,50.0,47.0,52.0,48.0
APEJ.NS,Apeejay Surrendra Park Hotels Ltd,8800891.68,33598853.25,25683320.73,0.2,-0.11,1.29,48.0,52.0,52.0,48.0
ULRI.MOT,HTP Ulcinjska Rivijera ad Ulcinj,8707693.88,1156242.18,900325.13,0.01,0.07,0.02,51.0,50.0,51.0,47.0
HMCI.OM,Hotels Management International Company SAOG,8666285.42,8597764.49,4299974.01,0.3,-0.5,0.5,52.0,51.0,52.0,53.0
ASIA.BK,Asia Hotel PCL,8659304.24,18051297.02,-113200.42,0.06,-0.35,0.45,51.0,53.0,47.0,51.0
DWC.PS,Discovery World Corp,8569221.22,5297285.55,-35126.5,0.03,-0.61,0.57,52.0,48.0,54.0,54.0
DATA.SI,Datapulse Technology Ltd,8564184.29,1391625.62,381048.97,0.03,-1.72,0.04,54.0,49.0,49.0,57.0
0037.HK,Far East Hotels and Entertainment Ltd,8385688.38,6520621.54,3150299.41,0.12,1.06,0.08,47.0,45.0,51.0,49.0
SAYH.BO,Sayaji Hotels Ltd,8369687.52,15148877.36,12524538.41,0.33,0.09,0.53,51.0,52.0,48.0,50.0
SSTY.L,Safestay PLC,8145843.2,8689711.15,6941757.42,0.06,-0.09,1.89,50.0,53.0,50.0,48.0
ILRA.ZA,Ilirija dd,7978923.68,20288930.95,14916014.14,0.28,0.17,0.29,49.0,51.0,49.0,48.0
SINI.JK,Singaraja Putra Tbk PT,7914617.81,26690585.06,7157919.79,2.31,0.01,1.03,48.0,49.0,49.0,56.0
RMTV.CA,Rowad Misr for Tourism Investment Co SAE,7884994.4,6296416.57,2901735.72,0.17,-0.14,0.62,54.0,49.0,44.0,54.0
SINL.NS,Sinclairs Hotels Ltd,7623811.95,3995143.7,3492004.1,0.23,0.24,0.09,51.0,51.0,47.0,57.0
OHTL.BK,OHTL PCL,7552967.8,16912375.56,-7015409.57,0.09,-1.1,2.58,48.0,50.0,46.0,55.0
SDTI.CA,Sharm Dreams Company For Touristic Investment SAE,7480587.48,2468071.52,1388825.03,0.03,-0.77,1.1,51.0,45.0,53.0,52.0
EXSI.KL,Exsim Hospitality Bhd,7424194.28,931457.1,573082.16,0.08,-0.02,0.49,55.0,45.0,45.0,51.0
KOSMI.RTS,GK Kosmos PAO,7384672.72,9467515.92,7591895.92,0.13,0.03,0.17,47.0,52.0,46.0,54.0
2310.HK,Times Universal Group Holdings Ltd,7221067.75,9966905.26,2438235.97,0.42,-0.23,6.35,45.0,47.0,52.0,49.0
2750.TWO,Hotel Orchard Park Co Ltd,7035760.68,19406538.68,9331264.43,0.24,0.29,2.68,49.0,47.0,49.0,50.0
CLA.CY,Claridge Public Ltd,6975479.16,522929.31,0.0,0.07,-1.26,0.0,51.0,54.0,51.0,57.0
MONP.ZA,Mon Perin dd,6961227.07,7886921.08,5542731.28,0.19,0.29,0.23,47.0,45.0,46.0,50.0
DOME.CY,Dome Investments PCL,6727418.17,966023.45,-675952.61,0.01,-1.81,0.62,49.0,47.0,47.0,48.0
LRHR.ZA,Liburnia Riviera Hoteli dd,6682168.11,32597447.88,21095723.35,0.23,-0.42,0.71,48.0,53.0,51.0,52.0
0181.HK,Fujian Holdings Ltd,6635929.6,3005106.6,82077401.0,0.05,0.16,0.0,53.0,53.0,46.0,57.0
UPHT.BO,U. P. Hotels Ltd,6612737.05,9479574.82,6770889.6,0.64,0.09,0.01,54.0,51.0,50.0,56.0
SGH.HN,Saigon Hotel Corp,6602648.94,785680.74,100571.13,0.1,0.19,0.0,50.0,51.0,45.0,51.0
ARTA.JK,Arthavest Tbk PT,6569335.5,2840734.69,2308656.72,0.1,-0.04,0.0,54.0,44.0,47.0,57.0
5364.TWO,Lealea Hotels & Resorts Co Ltd,6496644.05,12057736.72,-1009743.07,0.27,-0.2,1.99,46.0,51.0,45.0,55.0
SCT.MZ,Beau Vallon Hospitality Ltd,6400782.51,6080828.54,86520479.0,0.09,-0.63,1.86,46.0,44.0,50.0,55.0
PHTBC1.LM,Peru Holding de Turismo SAA,6355013.55,1014001.81,87183587.0,0.05,-3.03,0.0,49.0,46.0,53.0,48.0
ASHW.NS,Asian Hotels (West) Ltd,6325825.35,20913632.69,18124514.17,0.16,-0.74,2.0,46.0,46.0,49.0,57.0
JOHT.AM,Jordan Hotels and Tourism Company PSC,6319547.38,10781881.19,687411.6,0.25,-0.24,0.14,54.0,49.0,45.0,55.0
ECMI.KL,ECM Libra Group Bhd,6293707.97,3197406.34,79985757.0,0.06,-0.43,0.26,55.0,54.0,48.0,54.0
TPL.MZ,Tropical Paradise Co Ltd,6247082.05,12039732.34,84183793.0,0.19,-0.21,2.0,52.0,54.0,52.0,50.0
ICPL.SI,ICP Ltd,6190818.82,3684702.83,2542092.39,0.08,-0.24,0.92,45.0,47.0,46.0,48.0
AGDCU.EUL,Sociedade das Aguas da Curia SA,6128417.34,2279212.4,1149670.25,0.0,-0.15,2.0,45.0,52.0,48.0,57.0
HBES.BO,HB Estate Developers Ltd,6088091.52,6644673.22,5816480.33,0.1,-0.31,2.2,46.0,51.0,53.0,56.0
CRESTA.BT,Cresta Marakanelo Ltd,5778109.77,18281743.27,4569928.82,0.41,-0.2,2.93,46.0,45.0,44.0,50.0
SEAP.DH,Sea Pearl Beach Resort & Spa Ltd,5763409.72,7614340.78,6031997.04,0.11,0.11,3.6,48.0,45.0,52.0,50.0
NVT.HM,Ninh Van Bay Travel Real Estate JSC,5725963.71,5549609.99,753773.8,0.16,-0.39,1.42,48.0,51.0,50.0,53.0
STAF.CM,Dolphin Hotels PLC,5715225.5,979099.24,701011.11,0.07,-0.09,0.37,46.0,54.0,49.0,48.0
TCRG.LJ,Terme Catez dd,5679216.97,28860878.07,15504388.06,0.16,0.3,0.36,48.0,49.0,50.0,54.0
HEFA.ZA,Helios Faros dd,5647231.89,5116379.06,2555247.48,0.14,0.07,0.0,50.0,49.0,51.0,52.0
KAMT.NS,Kamat Hotels (India) Ltd,5577802.25,19036328.71,15533178.57,0.31,-0.16,2.0,47.0,50.0,45.0,52.0
NEH.CM,Nuwara Eliya Hotels Co PLC,5528927.99,2246219.9,1684325.71,0.12,0.01,0.01,54.0,49.0,49.0,52.0
MIMO.MOT,HTP Mimoza ad Tivat,5399506.63,1145954.12,798206.13,0.07,-0.27,0.0,54.0,54.0,46.0,53.0
BVRU.BJ,ZTC Banja Vrucica ad Teslic,5135078.23,9384389.0,7054510.56,0.28,0.27,0.11,54.0,48.0,45.0,57.0
HOOT4.SA,Hoteis Othon SA - em Recuperacao Judicial,5119652.44,8280164.44,5030429.24,0.1,-0.6,2.0,50.0,50.0,49.0,57.0
HSIL.BO,H S India Ltd,5049353.5,2373157.81,1774539.07,0.35,0.06,0.84,50.0,49.0,48.0,49.0
BUVA.JK,Bukit Uluwatu Villa Tbk PT,5016435.33,4310348.15,2383293.13,0.03,-5.64,5.92,52.0,49.0,53.0,48.0
TUFE.BX,Turism Felix SA,4951307.47,19863131.02,4686532.05,0.38,0.12,0.0,55.0,50.0,48.0,56.0
HCD.GQ,Hotel Colon Internacional CA,4882280.0,12798230.0,90415197.0,0.3,0.04,0.0,46.0,47.0,51.0,56.0
GHTL.BO,Gujarat Hotels Ltd,4880911.29,280785.33,93168815.0,0.06,1.28,0.0,47.0,45.0,52.0,54.0
CAGU.PK,Castle Group Inc,4806790.0,24209210.0,12906310.0,1.86,0.0,3.61,53.0,51.0,45.0,52.0
PKENT.IS,Petrokent Turizm AS,4678504.22,8141779.5,2944019.65,0.97,0.4,0.0,55.0,50.0,52.0,56.0
AHPL.CM,Asian Hotels and Properties Plc,4556678.2,14168415.22,5172802.77,0.1,-0.13,0.06,52.0,45.0,54.0,54.0
PRIT.MOT,Primorje Hotels & Restaurants ad Tivat,4455788.96,1887359.55,981204.2,0.04,-1.6,0.62,46.0,49.0,46.0,49.0
4170.SE,Tourism Enterprise Company (Shams) SJSC,4430795.46,4255879.38,1371032.02,0.22,-0.88,0.0,49.0,48.0,51.0,57.0
KHC.CM,Kandy Hotels Co (1938) PLC,4337948.24,627054.74,353804.19,0.02,-0.85,0.09,52.0,47.0,44.0,48.0
PDC.HNO,Phuong Dong Petroleum Tourism JSC,4331668.55,926660.29,-169467.23,0.07,-0.7,0.0,51.0,46.0,48.0,49.0
MOVINN.CO,Movinn A/S,4267861.78,8575440.72,1786841.98,1.25,-0.07,0.71,45.0,45.0,51.0,58.0
BUDR.MOT,Hotelska Grupa Budvanska Rivijera ad Budva,4247231.89,12320237.36,9561557.87,0.08,-0.21,0.01,50.0,45.0,53.0,50.0
CDO.HNO,Consultancy Design and Urban Development JSC,4242359.36,248359.14,-320129.94,0.02,-3.61,0.0,52.0,50.0,45.0,56.0
ADHO.NS,Advani Hotels and Resorts (India) Ltd,4170515.96,6764618.31,6287868.21,0.74,0.13,0.02,45.0,45.0,52.0,55.0
LHH.CY,Lordos Hotels Holdings Public Ltd,4122285.88,16539719.89,7124104.77,0.13,0.07,0.1,51.0,53.0,52.0,54.0
ELWA.CA,El Wadi for International and Investment Development SAE,3947190.29,570095.79,47016.6,0.02,-1.23,0.21,46.0,49.0,45.0,50.0
RCHI.BX,Grand Hotel Bucharest SA,3795115.11,4325802.07,3554656.06,0.15,0.24,0.0,48.0,47.0,52.0,54.0
ASHT.NS,Asian Hotels (North) Ltd,3725016.93,17196705.2,12208562.69,0.07,-3.26,4.54,49.0,50.0,52.0,48.0
VICE.NS,Viceroy Hotels Ltd,3707260.08,6908958.73,1340137.47,0.13,-0.5,2.0,54.0,45.0,44.0,52.0
MALL.AM,Al Dawliyah for Hotels and Malls PSC,3685813.3,6966138.61,-644851.49,0.08,-0.27,0.2,49.0,52.0,48.0,54.0
ROBCM.BX,Casa de Bucovina Club de Munte SA,3648142.87,1382429.11,841413.49,0.16,0.1,0.0,50.0,48.0,52.0,47.0
HBAG.ISX,Baghdad Hotel,3605423.63,1714066.31,82218844.0,0.26,0.85,0.0,52.0,45.0,50.0,55.0
2712.TW,FarGlory Hotel Co Ltd,3566577.66,12664946.59,2455578.81,0.24,-0.06,0.03,52.0,52.0,51.0,56.0
ACAP.CM,Asia Capital PLC,3564152.25,1213896.19,524204.15,0.07,-2.49,2.0,47.0,47.0,46.0,49.0
SKEH.BB,St St Constantine and Helena Holding AD,3514220.9,16138544.76,9890071.54,0.2,0.05,1.92,47.0,48.0,50.0,50.0
MDTR.AM,Mediterranean Tourism Investment Company PSC,3417765.21,11693451.2,9303182.46,0.13,-0.16,0.32,49.0,50.0,53.0,51.0
EFO.BX,Turism Hoteluri Restaurante Marea Neagra SA,3406050.92,10460851.87,7939615.0,0.14,1.12,0.02,47.0,52.0,48.0,56.0
1355.HK,Legend Strategy International Holdings Group Company Ltd,3395418.05,9051540.57,89398962.0,0.3,0.07,16.52,49.0,49.0,49.0,57.0
TCO.AX,Transmetro Corporation Ltd,3389877.65,11073971.58,10484821.3,0.55,0.21,0.25,52.0,51.0,45.0,54.0
GOCO.CA,Golden Coast El Sokhna Company for Touristic Investment SAE,3253254.3,1286748.88,785927.34,0.1,0.36,0.31,50.0,45.0,44.0,50.0
PNSE.JK,Pudjiadi And Sons Tbk PT,3230686.46,4846350.46,2012137.78,0.18,-0.43,0.73,51.0,52.0,48.0,48.0
VTG.HNO,Ba Ria Vung Tau Tourist JSC,3193342.19,1953444.29,681953.96,0.21,-0.42,0.1,49.0,50.0,51.0,55.0
AVHOL.IS,Avrupa Yatirim Holding AS,3161606.63,2966914.49,598646.0,0.47,0.06,0.1,50.0,48.0,53.0,55.0
CDZ0.MU,MHP Hotel AG,3145715.39,607302.82,86354634.0,0.02,-0.36,0.0,53.0,49.0,50.0,49.0
VIDU.ZA,Villa Dubrovnik dd,3107264.17,7194716.14,4988261.37,0.3,0.22,0.64,51.0,50.0,47.0,51.0
0022.HK,Mexan Ltd,3042734.39,3513106.32,1105578.33,0.05,-1.61,0.19,49.0,45.0,47.0,49.0
MANRIN.BK,Mandarin Hotel PCL,2905589.53,691271.44,-2063219.38,0.03,-2.13,1.08,52.0,47.0,50.0,52.0
HGT.HNO,Huong Giang Tourist JSC,2895479.65,392583.66,-247534.36,0.04,-3.48,0.13,47.0,46.0,44.0,49.0
HPDG.ZA,Medora Hoteli i Ljetovalista dd,2847450.15,7456576.4,4202868.15,0.12,0.11,0.65,54.0,53.0,44.0,49.0
GRSS.BO,Graviss Hospitality Ltd,2786101.44,6368038.01,2932080.3,0.22,-0.13,0.1,54.0,51.0,47.0,53.0
HOME.JK,Hotel Mandarine Regency Tbk PT,2699372.07,4793693.19,1583542.84,0.24,0.0,0.19,48.0,48.0,52.0,53.0
EBG.AX,Eumundi Group Ltd,2673438.83,19104667.13,9729688.7,0.3,0.25,0.55,46.0,54.0,45.0,51.0
SHOT.CM,Serendib Hotels PLC,2664642.6,2202109.07,1651710.45,0.1,-0.88,0.6,50.0,50.0,50.0,49.0
HYDP.ASE,Hydro Hotel Eastbourne PLC,2644679.02,3821798.72,474774.44,0.66,0.13,0.0,51.0,48.0,48.0,57.0
GHOS.OM,Gulf Hotels Oman SAOG Co Ltd,2641018.98,9043410.45,5214452.82,0.11,-0.2,0.07,55.0,48.0,48.0,49.0
INVERTC1.LM,Inversiones en Turismo SA,2512797.35,4899126.77,3809344.57,0.4,0.06,0.37,51.0,51.0,53.0,50.0
INBT.BO,Indrayani Biotech Ltd,2491838.1,8112076.98,2660029.99,1.35,0.07,0.78,54.0,45.0,52.0,56.0
CHLL.BO,CHL Ltd,2479255.98,8209571.89,7528807.11,0.2,-0.13,2.0,45.0,47.0,45.0,50.0
REVE.BO,Reliable Ventures India Ltd,2454552.88,2404685.55,1751074.42,0.5,0.12,0.03,49.0,51.0,50.0,52.0
MOLI.MZ,Morning Light Co Ltd,2447340.39,3360965.94,78879185.0,0.08,-0.65,2.0,52.0,46.0,50.0,51.0
LUCY.JK,Lima Dua Lima Tiga PT Tbk,2444732.4,1013403.56,653774.34,0.42,0.02,0.25,46.0,45.0,46.0,50.0
HMAN.ISX,Mansour Hotel,2425492.36,1599505.95,-660984.22,0.45,-0.47,0.1,51.0,48.0,49.0,49.0
RHTL.CM,Fortress Resorts Plc,2311682.21,1208191.07,829587.82,0.18,0.1,0.09,52.0,49.0,48.0,52.0
CONN.CM,Hayleys Leisure PLC,2294563.77,2689488.72,466080.31,0.14,-1.06,1.26,51.0,50.0,49.0,51.0
RPBH.CM,Royal Palms Beach Hotels PLC,2222591.25,1165641.38,790850.45,0.11,-0.07,0.02,51.0,47.0,50.0,52.0
SNLK.JK,Sunter Lakeside Hotel Tbk PT,2209189.36,1454484.31,1161267.79,0.1,-0.35,0.25,50.0,51.0,51.0,56.0
TRH.SCT,TR Hotel Jardin del Mar SA,2203840.12,1312063.75,555350.93,0.59,-0.06,0.39,52.0,49.0,46.0,55.0
AIPC.AM,Al Sharq Investment Projects Co PSC,2181272.98,5203748.23,3472418.67,0.18,-0.06,0.03,49.0,48.0,52.0,50.0
RMHI.BO,Royale Manor Hotels and Industries Ltd,2166969.25,1795223.8,1520881.04,0.23,0.07,0.19,50.0,52.0,48.0,52.0
PHR.PS,PH Resorts Group Holdings Inc,2102693.27,47994.12,-120614.04,0.0,-182.8,1.24,52.0,52.0,52.0,48.0
JNHT.BO,Jindal Hotels Ltd,2039092.82,3933656.03,3030049.51,0.35,-0.08,3.74,47.0,47.0,51.0,57.0
TANG.CM,Tangerine Beach Hotels PLC,2034521.83,1111878.2,717688.44,0.08,-0.31,0.02,55.0,48.0,49.0,47.0
RENU.CM,Renuka City Hotels PLC,1994513.7,329316.71,214035.26,0.01,24.44,0.0,54.0,50.0,44.0,48.0
52HLTNU.VB,Sociedad Hotelera los Tajibos S.A.,1881020.5,5412483.16,1686705.71,0.12,-0.66,0.71,48.0,48.0,49.0,53.0
RSR.PL,Ramallah Summer Resorts Co PLC,1856407.36,838288.54,838288.54,0.04,0.25,0.05,45.0,50.0,49.0,49.0
SERC.CM,Kingsbury PLC,1852498.27,6995384.08,1651252.6,0.48,-0.21,1.8,51.0,44.0,50.0,52.0
AHC.PL,Arab Hotels Company PSC,1827072.14,2713988.68,1165770.86,0.08,-0.7,2.02,50.0,49.0,46.0,51.0
RV.V,Pathfinder Ventures Inc,1803617.22,1949050.18,1818418.55,0.0,-1.37,1.9,55.0,51.0,51.0,50.0
HRME.JK,Menteng Heritage Realty Tbk PT,1801376.37,4659316.88,2597963.97,0.07,-0.44,0.33,48.0,47.0,47.0,48.0
IEQ.AX,International Equities Corporation Ltd,1800465.13,3139944.93,2008184.56,0.12,-0.11,3.85,45.0,46.0,45.0,52.0
BCHO.NS,Blue Coast Hotels Ltd,1797964.2,0.0,82357805.0,0.0,-1.0,2.0,55.0,48.0,45.0,52.0
BHL.MV,Blantyre Hotels PLC,1762923.9,2447911.5,1100660.63,0.0,-0.38,0.93,48.0,46.0,53.0,56.0
SOTS.JK,Satria Mega Kencana Tbk PT,1693503.05,869052.38,518427.82,0.03,-1.87,0.33,55.0,47.0,52.0,48.0
ESTA.JK,Esta Multi Usaha Tbk PT,1693072.35,708354.61,430572.48,0.13,0.06,0.36,49.0,44.0,53.0,50.0
AYCES.IS,Altin Yunus Cesme Turistik Tesisler AS,1672821.62,4738614.16,2336455.12,0.14,0.26,0.03,51.0,44.0,53.0,52.0
TRAN.CM,Trans Asia Hotels PLC,1670186.85,6287972.32,2569155.71,0.25,0.0,0.12,55.0,48.0,51.0,52.0
TAJ.CM,Tal Lanka Hotels PLC,1663890.21,3970314.71,-907935.43,0.21,-1.5,35.31,54.0,48.0,47.0,56.0
HTIL.SJ,Hoteli Ilidza dd Ilidza,1655900.66,3002489.39,78778461.0,0.1,0.06,0.29,47.0,49.0,54.0,50.0
SPHT.CA,El Shams Pyramids Co for Hotels and Touristic Projects SAE,1597410.0,-730090.0,84864769.0,-0.02,-1.0,0.67,55.0,49.0,48.0,50.0
ROBU.NS,Robust Hotels Ltd,1595596.39,5379676.79,4658636.07,0.08,-0.86,0.72,50.0,51.0,54.0,55.0
ULAS.IS,Ulaslar Turizm Enerji Tarim Gida ve Insaat Yatirimlari AS,1536407.06,0.0,0.0,0.0,-1.0,0.0,54.0,49.0,50.0,49.0
BGSLB.BB,Slanchev Bryag AD,1436049.56,1778630.84,784621.65,0.07,-0.23,0.01,54.0,52.0,46.0,57.0
OCW.BB,Orpheus Club Wellness AD,1427325.07,70959.11,-19193.86,0.03,-2.99,0.0,50.0,46.0,51.0,52.0
BGSHB.BB,Sofia Hotel Balkan AD,1426161.81,10605478.97,4940964.35,0.1,-0.17,3.39,54.0,54.0,47.0,50.0
BBH.CM,Browns Beach Hotels PLC,1376851.21,1460643.6,1179352.94,0.08,-1.05,4.8,48.0,51.0,49.0,54.0
BNRS.BO,Benares Hotels Ltd,1354902.54,6566361.09,5438213.26,0.54,0.11,0.05,52.0,49.0,49.0,56.0
SAVE.BO,Savera Industries Ltd,1352781.37,4208960.57,3484415.31,0.47,-0.03,0.04,45.0,53.0,49.0,49.0
