Identifier (RIC),Company Name,"Total Current Assets
HKAR.ISX,Rehab Karbala Company for Investment and General Contracting,1327092.3,0.0,-46494.56,0.0,-1.0,0.0,47.0,47.0,47.0,54.0
UBAR.OM,Ubar Hotels and Resorts Co SAOG,1279854.43,5856303.61,80176120.0,0.21,-0.53,0.29,54.0,52.0,50.0,48.0
SIGV.CM,Sigiriya Village Hotels PLC,1152221.07,397035.95,272688.75,0.12,-0.16,0.62,47.0,51.0,49.0,51.0
REEF.CM,Citrus Leisure PLC,1140039.72,2936078.65,1954654.01,0.09,-0.54,1.17,48.0,50.0,51.0,52.0
DHAA.BO,Dhanada Corporation Ltd,1126603.08,1231276.47,1067557.38,0.24,-0.36,2.34,55.0,50.0,46.0,52.0
TUAA.BX,Turism Covasna SA,1115618.32,3204774.5,2373013.5,0.19,-0.03,0.1,51.0,50.0,49.0,53.0
AGRO.CY,Agros Development Company Proodos Public Ltd,1114948.71,2978517.34,1247410.85,0.22,0.2,0.89,46.0,48.0,48.0,48.0
PROE.SI,Prospera Global Ltd,1106004.45,295033.36,-118606.38,0.09,-4.96,0.13,51.0,53.0,45.0,57.0
VIR.HNO,Vung Tau Intourco Resort JSC,1027270.99,607209.78,-242422.36,0.14,-1.04,0.0,51.0,48.0,50.0,53.0
PMDZ.LZ,Pamodzi Hotels PLC,1002542.84,3008955.22,89751714.0,0.0,-1.0,2.0,48.0,52.0,47.0,57.0
MDSP.ZA,Modra Spilja dd,973834.21,1237313.28,649778.32,0.18,-0.24,0.0,52.0,46.0,52.0,49.0
PSKT.JK,Red Planet Indonesia Tbk PT,955946.47,3317143.08,1722028.04,0.11,-0.26,0.06,46.0,49.0,49.0,51.0
EAST.JK,Eastparc Hotel Tbk PT,946362.94,3580446.01,2491304.68,0.2,0.24,0.01,54.0,44.0,52.0,48.0
HSAD.ISX,Al Sadeer Hotel Mixed Joint Stock Co,900245.66,0.0,-22384.09,0.0,-1.0,2.0,48.0,52.0,50.0,54.0
ZDDL.LJ,Terme Dobrna dd,852901.25,8271054.83,4581542.34,0.35,0.02,0.35,49.0,50.0,47.0,54.0
THDI.AM,Al Tahdith for Real Estate Investments Company PSC,842489.39,106690.24,10240.45,0.03,-1.45,0.0,49.0,47.0,46.0,53.0
FITT.JK,Hotel Fitra International Tbk PT,750702.94,614727.98,221633.32,0.14,-0.62,0.67,45.0,47.0,52.0,51.0
PEG.CM,Pegasus Hotels of Ceylon PLC,730588.24,1335899.65,124584.78,0.14,-0.5,0.16,47.0,47.0,51.0,51.0
CITH.CM,Hikkaduwa Beach Resort PLC,727394.43,2018886.71,1412854.91,0.06,-0.56,0.66,47.0,49.0,50.0,51.0
PACY.BX,Palace SA,709606.49,934829.01,856406.25,0.23,0.34,0.08,55.0,48.0,52.0,56.0
PGLI.JK,Pembangunan Graha Lestari Indah Tbk PT,681823.51,1016731.66,467093.12,0.15,0.62,0.02,52.0,45.0,46.0,57.0
SRIS.NS,Sri Havisha Hospitality and Infrastructure Ltd,656891.7,967860.94,819181.2,0.23,0.08,0.12,52.0,54.0,50.0,55.0
PHTD.PSX,Pakistan Hotels Developers Ltd,656205.38,2271643.03,1067779.95,0.05,0.1,0.0,53.0,49.0,51.0,51.0
MPOL.MKE,Hoteli Metropol AD Ohrid,655072.73,1903885.1,1429699.87,0.21,-0.15,0.05,50.0,54.0,53.0,58.0
HOT.HNO,Hoi An Tourist Service JSC,648652.84,1159392.92,-536780.77,0.32,-0.8,0.0,50.0,45.0,53.0,55.0
KDTN.JK,Puri Sentul Permai Tbk PT,636566.44,1434137.36,803595.27,0.52,0.81,0.31,52.0,54.0,49.0,52.0
MERIT.IS,Merit Turizm Yatirim ve Isletme AS,600427.3,853660.61,746490.34,0.02,0.34,0.0,55.0,45.0,48.0,57.0
HTBO.MOT,HTP Vektra Boka ad Herceg Novi,598049.45,792396.92,516764.43,0.01,-2.99,0.08,47.0,47.0,48.0,48.0
DTCS.OM,Dhofar Tourism Company SAOG,580452.3,0.0,-2081232.13,0.0,-1.0,0.03,54.0,45.0,48.0,52.0
LHL.CM,Lighthouse Hotel PLC,579617.2,1476879.24,1133649.83,0.11,-0.18,0.14,52.0,52.0,46.0,50.0
HSIG.CM,Hotel Sigiriya PLC,560934.53,359067.99,266404.36,0.15,-0.58,0.07,53.0,44.0,53.0,53.0
INHO.MKE,Internesnel Hotels AD Skopje,513220.4,786227.21,214122.63,0.16,-0.24,0.32,46.0,51.0,53.0,51.0
VERY.BB,Vereya Tour AD,483917.87,824754.26,481009.71,0.26,0.1,0.0,52.0,49.0,48.0,51.0
ARHO.BO,Aruna Hotels Ltd,465867.56,0.0,86855949.0,0.0,-1.0,5.72,47.0,48.0,50.0,48.0
MRH.CM,Mahaweli Reach Hotels PLC,423385.12,1296059.55,431719.69,0.22,-0.47,0.43,54.0,52.0,46.0,54.0
SAJH.NS,Saj Hotels Ltd,414414.04,1101357.73,898628.6,0.0,-0.15,0.47,54.0,48.0,52.0,54.0
BERU.CM,Beruwala Resorts PLC,384074.71,840506.44,580660.69,0.2,-0.58,2.9,50.0,48.0,48.0,51.0
CLAY.JK,Citra Putra Realty Tbk PT,369550.78,1360426.18,-1329234.49,0.03,-3.86,9.36,48.0,51.0,49.0,53.0
CITW.CM,Waskaduwa Beach Resort PLC,340814.84,1214003.94,829702.08,0.07,-0.97,0.78,52.0,46.0,48.0,49.0
ALBA.MOT,HTP Albatros ad Ulcinj,281370.07,677500.4,520405.61,0.06,0.11,2.0,54.0,48.0,46.0,51.0
RRAH.BO,Ras Resorts and Apart Hotels Ltd,276721.51,1031977.14,931614.83,0.24,0.02,0.28,49.0,53.0,51.0,50.0
KDJH.BO,KDJ Holidayscapes and Resorts Ltd,269308.98,86222.19,24902.34,0.01,-8.75,2.7,48.0,52.0,51.0,55.0
GPA.LS,Imobiliaria Construtora Grao Para SA,239342.47,1288941.18,-2838210.22,0.03,-2.06,0.99,50.0,46.0,49.0,52.0
ABHS.OM,Al Buraimi Hotel Company SAOG,233744.64,2360072.74,726354.07,0.25,0.03,0.1,49.0,47.0,50.0,58.0
BAHS.OM,Al Batinah Hotels Company SAOG,207439.76,776859.29,-2312095.45,0.08,-1.9,0.15,47.0,47.0,48.0,50.0
ESPI.BO,Espire Hospitality Ltd,202486.38,222868.09,176096.88,0.43,-0.05,7.79,53.0,46.0,52.0,52.0
HBLK.BEL,HUTP Balkan ad Beograd u stecaju,202159.62,4625446.01,3898748.04,0.0,0.1,2.0,53.0,47.0,47.0,56.0
MMAT.CA,Marsa Marsa Alam for Tourism Development SAE,193937.42,0.0,0.0,0.0,-1.0,0.0,53.0,50.0,46.0,55.0
CINH.BO,Cindrella Hotels Ltd,184397.26,708008.02,531459.1,0.51,0.07,0.1,46.0,51.0,52.0,56.0
ATHO.MOT,Citadel Group ad Podgorica,175509.22,128188.37,92244.7,0.01,-15.42,0.0,46.0,49.0,45.0,48.0
MARA.CM,Marawila Resorts PLC,151437.34,862677.3,591224.67,0.14,-0.79,0.6,47.0,47.0,53.0,53.0
MTC.HNO,My Tra Tourist JSC,143174.6,416161.54,-27935.31,0.25,-0.35,0.0,47.0,47.0,53.0,49.0
ROOS.BO,Roopshri Resorts Ltd,128008.18,52317.88,34755.62,0.05,-0.4,0.0,55.0,53.0,48.0,51.0
HOWA.BO,Howard Hotels Ltd,125570.81,567894.66,488699.81,0.31,-0.18,0.26,51.0,48.0,44.0,49.0
PHOX.BO,Phoenix Township Ltd,124864.63,2092029.92,1487450.82,0.37,0.02,0.57,49.0,53.0,45.0,52.0
UGE.CY,Universal Golf Enterprises PLC,122388.2,237607907.0,92136089.0,0.0,-1.0,0.36,47.0,53.0,49.0,57.0
HASH.ISX,Ashour Hotel,109533.18,13506.84,-3109.32,0.11,-0.16,0.0,54.0,49.0,49.0,57.0
ECOH.BO,Eco Hotels and Resorts Ltd,100903.28,21853.09,-14503.69,0.14,-2.52,0.0,48.0,45.0,48.0,52.0
EWKS.PK,Earthworks Entertainment Inc,86000.0,0.0,-96000.0,0.0,-1.0,2.0,55.0,48.0,49.0,56.0
DHCC.PK,Diamondhead Casino Corp,82090.0,207193185.0,81332997.0,0.0,-1.0,2.0,48.0,51.0,47.0,55.0
HOTEL.ST,First Hotels AB (publ),75338.53,0.0,80591686.0,0.0,-1.0,2.0,54.0,52.0,48.0,56.0
VLNH.BO,Velan Hotels Ltd,72831.33,0.0,-500.65,0.0,-1.0,2.42,47.0,51.0,53.0,52.0
RFLL.CM,Ramboda Falls PLC,65451.87,164583.77,46617.44,0.08,0.07,0.02,47.0,48.0,47.0,51.0
RONORD.BX,Nord SA,63522.0,15599.92,-49589.48,0.0,-4.42,0.0,47.0,51.0,44.0,48.0
GRPH.JK,Griptha Putra Persada Tbk PT,56844.64,1029139.98,441358.94,0.5,-0.02,2.0,52.0,54.0,49.0,57.0
BRJE.MOT,HTP Velika Plaza ad Ulcinj,52205.01,394457.77,299778.04,0.14,0.02,0.03,52.0,48.0,45.0,49.0
NUSA.JK,Sinergi Megah Internusa Tbk PT,48324.99,170680.88,-782234.38,0.03,-15.52,2.0,53.0,50.0,52.0,55.0
BEHT.BO,Best Eastern Hotels Ltd,40842.46,546274.51,475933.25,0.71,-0.05,0.88,45.0,48.0,49.0,49.0
ASPL1.CY,Aphrodite Springs Public Ltd,36559.58,215674869.0,91286215.0,0.0,-1.0,0.0,54.0,54.0,51.0,51.0
NEOL.BX,Neptun Olimp SA,32234.77,174975.28,11135.9,0.06,-3.27,0.0,52.0,53.0,48.0,51.0
AKDH.PSX,AKD Hospitality Ltd,26403.18,0.0,88671254.0,0.0,-1.0,0.57,50.0,47.0,52.0,58.0
PLAN.JK,Planet Properindo Jaya Tbk PT,11547.99,462508.81,104719.73,0.07,-0.15,0.35,48.0,53.0,51.0,51.0
SAYO.BO,Sayaji Hotels (Pune) Ltd,4769.35,0.0,86599977.0,0.0,-1.0,0.09,50.0,45.0,47.0,53.0
DAWN.ZI,Dawn Properties Ltd,3580.99,2053.76,82599250.0,0.05,0.59,0.05,47.0,48.0,53.0,55.0
INTG.OQ,InterGroup Corp,212033349.0,47219000.0,11135000.0,0.35,-0.19,2.0,49.0,47.0,44.0,52.0
WOOD.BO,Woodsvilla Ltd,203390018.0,241598405.0,84653865.0,0.0,-1.0,2.0,49.0,48.0,53.0,57.0
LOIS.BO,Lords Ishwar Hotels Ltd,207774990.0,240510793.0,83179952.0,0.0,-1.0,2.0,54.0,48.0,45.0,58.0
BUHF.PK,Buck Hill Falls Co,204082630.0,220741132.0,93849737.0,0.0,-1.0,2.0,49.0,47.0,52.0,55.0
CNDL.PK,WCH Inc,221672750.0,131053000.0,63060000.0,0.0,-0.02,2.0,46.0,47.0,44.0,54.0
HOIN.EUA,Societe Hoteliere et Immobiliere de Nice SA,222222844.0,208449486.0,77742929.0,0.0,-1.0,2.0,52.0,52.0,44.0,56.0
HOMJ.EUA,Soc Immobiliere et Exploit Hotel Majesti SA,209603534.0,32844547.46,92147226.0,0.0,-1.0,2.0,54.0,48.0,50.0,49.0
GWYT.PK,Greenway Technology,215540563.0,204371915.0,87342354.0,0.0,-1.0,2.0,53.0,50.0,49.0,56.0
PRSI.PK,Portsmouth Square Inc,222625460.0,31534000.0,4144000.0,0.62,-0.21,2.0,51.0,52.0,47.0,57.0
BFHJ.PK,Beneficial Holdings Inc,190635411.0,209755817.0,78638132.0,0.0,-1.0,2.0,50.0,47.0,48.0,50.0
SKTP.PK,Skytop Lodge Corp,211512098.0,224120557.0,78973813.0,0.0,-1.0,2.0,53.0,53.0,45.0,48.0
HPST.PK,Parliament House Enterprises Inc,221578635.0,222140271.0,87932508.0,0.0,-1.0,2.0,50.0,47.0,51.0,49.0
1KSP01AE.BV,Kupele Strbske Pleso as,209530694.0,241858618.0,78538035.0,0.0,-1.0,2.0,51.0,46.0,47.0,57.0
ULSP.PK,Ultimate Sports Entertainment Inc,224746219.0,210212551.0,91100952.0,0.0,-1.0,2.0,50.0,50.0,48.0,51.0
LEIC.PK,Lead Innovation Corp,204178938.0,204739457.0,85353721.0,0.0,-1.0,2.0,46.0,54.0,44.0,52.0
POLH.BO,Polo Hotels Ltd,215489485.0,206944713.0,80046006.0,0.0,-1.0,2.0,49.0,48.0,47.0,51.0
ROANTA.BX,Romanta Estival 2002 SA,204273434.0,207160442.0,80186061.0,0.0,-1.0,2.0,52.0,51.0,44.0,54.0
ROBALN.BX,Societatea Comerciala de Tratament Balnear Buzias SA,206588909.0,235093121.0,86045569.0,0.0,-1.0,2.0,46.0,53.0,46.0,56.0
BIBU.BX,Biroul de Turism pentru Tineret BTT SA,221778387.0,243048101.0,78173414.0,0.0,-1.0,2.0,53.0,49.0,51.0,57.0
BLEA.BX,Balea Estival 2002 SA,194333295.0,243425969.0,85351919.0,0.0,-1.0,2.0,53.0,50.0,49.0,56.0
BNAT.BX,Banat Estival 2002 SA,223020541.0,210472170.0,88891490.0,0.0,-1.0,2.0,47.0,48.0,45.0,52.0
ROCLUB.BX,Hotel Club Estival 2002 SA,197223968.0,236935422.0,82565335.0,0.0,-1.0,2.0,54.0,53.0,53.0,57.0
DOIS.BX,Dorna Turism SA,200956712.0,232641653.0,92083843.0,0.0,-1.0,2.0,48.0,51.0,48.0,56.0
PRAH.BX,Prahova Estival 2002 SA,217489316.0,230924033.0,84860927.0,0.0,-1.0,2.0,50.0,47.0,47.0,51.0
TERA.BX,Terra Estival 2002 SA,189375419.0,213832243.0,90012378.0,0.0,-1.0,2.0,47.0,53.0,51.0,54.0
TSND.BX,Tusnad SA,198174057.0,213961203.0,80925320.0,0.0,-1.0,2.0,53.0,51.0,53.0,57.0
UCET.BX,Clabucet Estival 2002 SA,222972234.0,202159574.0,89627267.0,0.0,-1.0,2.0,47.0,46.0,50.0,57.0
CH139553=BEKB,Suvretta Haus AG,212108884.0,239274568.0,89615914.0,0.0,-1.0,2.0,54.0,54.0,45.0,51.0
CH1955690=BEKB,Cresta Palace Celerina AG,226808663.0,222772944.0,91872995.0,0.0,-1.0,2.0,48.0,50.0,47.0,51.0
PARC.BX,Parc SA,204770690.0,237553769.0,81036631.0,0.0,-1.0,2.0,46.0,52.0,48.0,50.0
SHCK.KW,Sokouk Holding Co KSCP,194851853.0,6371131.63,-937113.16,0.04,-2.22,0.95,45.0,47.0,47.0,52.0
WIVA.AM,Winter Valley Tourism Investment Company PSC,222385958.0,1468212.67,-968042.99,0.0,-1.45,2.0,54.0,52.0,48.0,52.0
KPNK.BEL,Kopaonik ad Blace,190089494.0,241751973.0,90946054.0,0.0,-1.0,2.0,51.0,49.0,46.0,50.0
PLSD.BEL,Palisad ad Zlatibor,206160095.0,232421268.0,84475433.0,0.0,-1.0,2.0,47.0,47.0,48.0,48.0
PTNK.BEL,Putnik ad Beograd,210837077.0,210470085.0,85517682.0,0.0,-1.0,2.0,46.0,52.0,47.0,49.0
STIS.BEL,Srbija Tis ad Zajecar,227934863.0,240354389.0,82235132.0,0.0,-1.0,2.0,54.0,53.0,51.0,48.0
ZLTR.BEL,Zlatar ad Nova Varos,197474492.0,221577850.0,92132399.0,0.0,-1.0,2.0,46.0,47.0,45.0,56.0
SLVA.BEL,Sloga ad Valjevo,212319708.0,206996239.0,80368979.0,0.0,-1.0,2.0,47.0,50.0,50.0,49.0
GRZA.BEL,Grza Turist ad Paracin,222846910.0,231508016.0,86075144.0,0.0,-1.0,2.0,54.0,52.0,45.0,49.0
SLGU.BEL,Sloga ad Uzice,197074918.0,242008331.0,81953549.0,0.0,-1.0,2.0,51.0,53.0,50.0,48.0
BLCR.BEL,UTP Bela Crkva ad Bela Crkva,208941010.0,206308601.0,82059309.0,0.0,-1.0,2.0,45.0,53.0,52.0,49.0
VISZ.ZA,VIS dd,216157063.0,233350119.0,79405985.0,0.0,-1.0,2.0,48.0,50.0,48.0,53.0
BGSE.DH,Bangladesh Services Ltd,215342865.0,243779722.0,82736871.0,0.0,-1.0,2.0,52.0,49.0,48.0,49.0
JSNV.BEL,Jasenovo ad Nova Varos,222517035.0,224893570.0,93873143.0,0.0,-1.0,2.0,52.0,47.0,48.0,54.0
BRCI.BEL,Borici ad Sjenica,208139156.0,206050536.0,92454299.0,0.0,-1.0,2.0,51.0,47.0,46.0,53.0
SBAC.BEL,UTP Srednja Backa ad Kula,210498381.0,211428109.0,92334665.0,0.0,-1.0,2.0,53.0,48.0,47.0,53.0
HTAD.SJ,HUT Aduna dd Bihac,223815511.0,203326891.0,90343333.0,0.0,-1.0,2.0,48.0,54.0,52.0,57.0
VJDN.BEL,Vojvodina ad Novi Sad,198841925.0,206865546.0,81715311.0,0.0,-1.0,2.0,54.0,49.0,45.0,49.0
PUNS.BEL,Putnik ad Novi Sad,193398979.0,224666769.0,89890783.0,0.0,-1.0,2.0,45.0,52.0,48.0,54.0
BRJE.BJ,Borje ad Kotor Varos,224121897.0,232923088.0,84092367.0,0.0,-1.0,2.0,52.0,54.0,51.0,56.0
GACK.BJ,Gacko UIT ad Gacko,222714052.0,202042330.0,89779979.0,0.0,-1.0,2.0,50.0,47.0,50.0,54.0
HTLP.BJ,Hotel Prijedor ad Prijedor,226945090.0,209330878.0,80189453.0,0.0,-1.0,2.0,47.0,46.0,52.0,52.0
KZTR.BJ,Kozaraturist UTP ad Prijedor u stecaju,202022130.0,226552617.0,94210493.0,0.0,-1.0,2.0,46.0,49.0,47.0,56.0
HPAL.BJ,Hotel Palas ad Banja Luka,199521190.0,238086593.0,89353940.0,0.0,-1.0,2.0,47.0,48.0,47.0,53.0
PANS.BJ,Panos UTP ad Visegrad,227393790.0,235706177.0,85984070.0,0.0,-1.0,2.0,49.0,46.0,45.0,56.0
SVGR.BJ,Sava ad Gradiska,207336419.0,225470606.0,91901558.0,0.0,-1.0,2.0,50.0,45.0,47.0,52.0
VCVO.BJ,Vucevo ad Foca u likvidaciji,197753256.0,207164562.0,77423610.0,0.0,-1.0,2.0,47.0,50.0,53.0,49.0
BKMG.BJ,TC Balkana ad Mrkonjic Grad,209204566.0,222709419.0,91342899.0,0.0,-1.0,2.0,52.0,52.0,48.0,52.0
MJVC.BJ,Majevica ad Lopare,201797549.0,232302139.0,93549418.0,0.0,-1.0,2.0,48.0,46.0,49.0,49.0
SKCN.BJ,Sokocnica ad Sipovo,191222677.0,230020414.0,86980004.0,0.0,-1.0,2.0,50.0,52.0,46.0,53.0
STGR.BJ,Stari Grad ad Zvornik,220303508.0,238379800.0,92888067.0,0.0,-1.0,2.0,53.0,44.0,48.0,55.0
JAMH.BO,James Hotels Ltd,197562444.0,210630180.0,81259834.0,0.0,-1.0,2.0,46.0,49.0,51.0,55.0
BRSK.MOT,TUP Brskovo Bijelo Polje ad,210729160.0,235446281.0,83342971.0,0.0,-1.0,2.0,54.0,51.0,49.0,56.0
COIG.MOT,Centar za Odmor Rekreaciju i Lijecenje Igalo ad Igalo,215633350.0,244922158.0,80725587.0,0.0,-1.0,2.0,48.0,47.0,48.0,51.0
HOMO.MOT,Hotel Ravnjak ad Podgorica,218451376.0,229943495.0,88536654.0,0.0,-1.0,2.0,52.0,49.0,52.0,50.0
JEKO.MOT,Jekon ad Bijelo Polje,226966865.0,207599589.0,87747739.0,0.0,-1.0,2.0,50.0,49.0,48.0,56.0
MESY.MOT,Mercur System ad Budva u stecaju,215882927.0,208675633.0,78636529.0,0.0,-1.0,2.0,53.0,51.0,47.0,57.0
PLAJ.MOT,Plavsko Jezero Plav ad u stecaju,199210132.0,213638015.0,89501927.0,0.0,-1.0,2.0,50.0,47.0,52.0,52.0
SIMI.MOT,Societa Italo Montenegrina Investimenti ad Podgorica,224200971.0,218171284.0,78686692.0,0.0,-1.0,2.0,49.0,44.0,45.0,53.0
TEKR.MOT,HTP Trend Korali ad Sutomore,198016919.0,222025371.0,92395985.0,0.0,-1.0,2.0,47.0,51.0,44.0,49.0
TURJ.MOT,Turjak ad Rozaje,216558720.0,228452961.0,81375747.0,0.0,-1.0,2.0,51.0,45.0,46.0,51.0
BERA.MOT,HTP Berane ad Berane,213541571.0,244518449.0,89296961.0,0.0,-1.0,2.0,51.0,47.0,50.0,49.0
CRNA.MOT,UTIP Crna Gora ad Podgorica,195187833.0,220630187.0,90037318.0,0.0,-1.0,2.0,54.0,46.0,45.0,52.0
FJOK.MOT,HP Fjord ad Kotor,218083383.0,234822281.0,77749222.0,0.0,-1.0,2.0,50.0,45.0,49.0,50.0
HOTA.MOT,UTP Tara ad Pljevlja,190888654.0,204510854.0,86524205.0,0.0,-1.0,2.0,46.0,54.0,45.0,54.0
SINJ.MOT,Sinjavina ad Mojkovac,212336157.0,205961677.0,90374696.0,0.0,-1.0,2.0,47.0,52.0,47.0,52.0
STAR.MOT,Stara Tara ad Pljevlja,227299891.0,244433949.0,79436247.0,0.0,-1.0,2.0,47.0,51.0,49.0,48.0
RBGU.BO,Aarcon Facilities Ltd,190768757.0,227508960.0,93609082.0,0.0,-1.0,2.0,53.0,50.0,48.0,54.0
VAC.N,Marriott Vacations Worldwide Corp,226285058.0,3890000000.0,1903000000.0,0.42,0.01,1.51,51.61,43.81,49.78,61.39
PRMC.BB,Primorsko Club EAD,194324262.0,202326882.0,86611062.0,0.0,-1.0,2.0,51.0,52.0,47.0,55.0
DEBA.MKE,Debarski Banji Capa AD Debar,225020763.0,238877432.0,93997184.0,0.0,-1.0,2.0,46.0,45.0,48.0,51.0
ILKR.MKE,Montana Biznis DOO Krusevo,213349560.0,219651322.0,82926484.0,0.0,-1.0,2.0,50.0,45.0,45.0,50.0
INDI.MKE,Ineks Drim AD Struga,227673772.0,226112336.0,87654189.0,0.0,-1.0,2.0,54.0,53.0,50.0,55.0
HPAL.ISX,Palestine International Hotel Co,203814749.0,211590644.0,88305992.0,0.0,-1.0,2.0,54.0,51.0,51.0,55.0
KSTUR.IS,Kustur Kusadasi Turizm Endustrisi AS,201701415.0,242465352.0,82368025.0,0.0,-1.0,2.0,51.0,51.0,46.0,52.0
ANIL.CM,Anilana Hotels & Properties PLC,214514011.0,232303653.0,87621260.0,0.0,-1.0,2.0,49.0,47.0,48.0,52.0
BRRE.PK,Blue Ridge Real Estate Co,193974608.0,14554520.0,13131190.0,0.72,0.37,0.0,55.0,50.0,46.0,55.0
MSH.MNE,Mongol Shiltgeen JSC,190967624.0,234443179.0,80512458.0,0.0,-1.0,2.0,47.0,50.0,50.0,48.0
DZG.MNE,Darkhan Zochid Buudal JSC,227072812.0,222501670.0,77651770.0,0.0,-1.0,2.0,55.0,48.0,49.0,48.0
BNG.MNE,Bayangol Hotel JSC,207633254.0,207533769.0,92447144.0,0.0,-1.0,2.0,53.0,53.0,45.0,50.0
BANS.CM,Bansei Royal Resorts Hikkaduwa PLC,201318433.0,225526450.0,85519148.0,0.0,-1.0,2.0,55.0,45.0,46.0,55.0
WLRL.BO,West Leisure Resorts Ltd,223719794.0,23714.98,84415186.0,0.01,-1.4,0.0,52.0,52.0,47.0,53.0
ABNI.NS,A B N Intercorp Ltd,227025092.0,239817397.0,88031472.0,0.0,-1.0,2.0,48.0,44.0,50.0,50.0
GIRN.NS,GIR Natureview Resorts Ltd,194720126.0,201471857.0,91635037.0,0.0,-1.0,2.0,46.0,46.0,45.0,52.0
PLYA.OQ,Playa Hotels & Resorts NV,207126845.0,534639000.0,201854000.0,0.26,-0.17,1.81,18.2,9.77,19.58,23.72
HGV.N,Hilton Grand Vacations Inc,204174409.0,2335000000.0,775000000.0,0.42,0.08,2.13,32.58,25.18,35.48,34.87
VGF.GQ,Valle Grande SA,187363955.0,230379481.0,87951015.0,0.0,-1.0,2.0,47.0,51.0,53.0,49.0
ZATG.LJ,Terme Olimia dd,225176176.0,230153370.0,84577746.0,0.0,-1.0,2.0,54.0,47.0,48.0,54.0
AAT.NH,Australian Adventure Tourism Group Ltd,223453722.0,221929641.0,82742270.0,0.0,-1.0,2.0,53.0,48.0,46.0,49.0
XFUND.JS,Sagicor Real Estate X Fund Ltd,224940614.0,218635055.0,78212540.0,0.0,-1.0,2.0,47.0,53.0,52.0,53.0
RENH.CM,Renuka Hotels PLC,207738133.0,211062918.0,77270152.0,0.0,-1.0,2.0,48.0,50.0,44.0,51.0
RIVE.M3,River Front Hotels Ltd,211236354.0,231642938.0,92641624.0,0.0,-1.0,2.0,51.0,46.0,48.0,50.0
HOFV.OQ,Hall of Fame Resort & Entertainment Co,194153484.0,10770380.0,6361690.0,0.03,-8.65,0.49,54.0,45.0,49.0,51.0
MAHT.BO,Mac Hotels Ltd,208550451.0,239369022.0,88272611.0,0.0,-1.0,2.0,50.0,45.0,50.0,48.0
138SL.JS,138 Student Living Jamaica Ltd,226475468.0,208130437.0,84529440.0,0.0,-1.0,2.0,53.0,46.0,52.0,54.0
ULTIMA.BN,Ultima Capital SA,203990276.0,227301995.0,77577557.0,0.0,-1.0,2.0,51.0,45.0,45.0,52.0
SSHO.MOT,Sveti Stefan Hoteli ad Budva,224789143.0,234831691.0,93233644.0,0.0,-1.0,2.0,50.0,52.0,46.0,55.0
HSLG.LJ,Hotel Slon dd,225128006.0,241228680.0,88359762.0,0.0,-1.0,2.0,50.0,48.0,50.0,49.0
SHBR.LJ,Sava Turizem dd,199453482.0,226660186.0,88450224.0,0.0,-1.0,2.0,50.0,46.0,53.0,54.0
BCV.HNO,Vimico Cao Bang Bang Giang Travel and Trading JSC,217035546.0,210082270.0,86866064.0,0.0,-1.0,2.0,53.0,48.0,49.0,48.0
SILP.BO,Silver Pearl Hospitality & Luxury Spaces Ltd,218337211.0,210421241.0,85370046.0,0.0,-1.0,2.0,46.0,54.0,46.0,51.0
MLHBP.EUA,Hoteles BESTPRICE SA,200976046.0,223641894.0,93302175.0,0.0,-1.0,2.0,48.0,45.0,49.0,51.0
BEST.DH,Best Holdings Ltd,217843649.0,233776910.0,90967355.0,0.0,-1.0,2.0,53.0,54.0,48.0,48.0
BHIp.MZ,Beachcomber Hospitality Investments Ltd,187826738.0,234097409.0,89571052.0,0.0,-1.0,2.0,51.0,52.0,50.0,52.0
CAVT.MZ,Cavell Touristic Investments Ltd,190760760.0,240547090.0,86790936.0,0.0,-1.0,2.0,45.0,52.0,47.0,48.0
SAYI.BO,Sayaji Hotels (Indore) Ltd,223920927.0,209324077.0,88968634.0,0.0,-1.0,2.0,47.0,54.0,45.0,51.0
SOGES.MI,Soges Group SpA,226007106.0,203177689.0,87810884.0,0.0,-1.0,2.0,48.0,53.0,50.0,53.0
LOT.MNE,Grand Systems JSC,191844212.0,201778197.0,84865333.0,0.0,-1.0,2.0,53.0,46.0,44.0,49.0
